Date,Price,Open,High,Low,Vol.,Change %
2023-12-08,374.23,369.2,374.46,368.23,20.15M,0.88%
2023-12-11,371.3,368.48,371.6,366.1,27.71M,-0.78%
2023-12-12,374.38,370.85,374.42,370.46,24.84M,0.83%
2023-12-13,374.37,376.02,377.64,370.77,30.96M,0.00%
2023-12-14,365.93,373.31,373.76,364.13,43.28M,-2.25%
2023-12-15,370.73,366.85,372.4,366.28,78.50M,1.31%
2023-12-18,372.65,369.45,373.0,368.68,21.80M,0.52%
2023-12-19,373.26,371.49,373.26,369.84,20.60M,0.16%
2023-12-20,370.62,375.0,376.03,370.53,26.32M,-0.71%
2023-12-21,373.54,372.56,374.41,370.04,17.71M,0.79%
2023-12-22,374.58,373.68,375.18,372.71,17.11M,0.28%
2023-12-26,374.66,375.0,376.94,373.5,12.67M,0.02%
2023-12-27,374.07,373.69,375.06,372.81,14.91M,-0.16%
2023-12-28,375.28,375.37,376.46,374.16,14.33M,0.32%
2023-12-29,376.04,376.0,377.16,373.48,18.73M,0.20%
2024-01-02,370.87,373.86,375.9,366.77,25.26M,-1.37%
2024-01-03,370.6,369.01,373.26,368.51,23.08M,-0.07%
2024-01-04,367.94,370.67,373.1,367.17,20.90M,-0.72%
2024-01-05,367.75,368.97,372.06,366.5,21.00M,-0.05%
2024-01-08,374.69,369.3,375.2,369.01,23.13M,1.89%
2024-01-09,375.79,372.01,375.99,371.19,20.83M,0.29%
2024-01-10,382.77,376.37,384.17,376.32,25.51M,1.86%
2024-01-11,384.63,386.0,390.68,380.38,27.85M,0.49%
2024-01-12,388.47,385.49,388.68,384.65,21.66M,1.00%
2024-01-16,390.27,393.66,394.03,387.62,27.20M,0.46%
2024-01-17,389.47,387.98,390.11,384.81,22.23M,-0.20%
2024-01-18,393.87,391.72,393.99,390.12,23.39M,1.13%
2024-01-19,398.67,395.76,398.67,393.5,29.33M,1.22%
2024-01-22,396.51,400.02,400.62,393.59,27.02M,-0.54%
2024-01-23,398.9,395.75,399.38,393.93,20.53M,0.60%
2024-01-24,402.56,401.54,405.63,400.45,24.87M,0.92%
2024-01-25,404.87,404.32,407.01,402.53,21.02M,0.57%
2024-01-26,403.93,404.37,406.17,402.43,17.80M,-0.23%
2024-01-29,409.72,406.06,409.98,404.33,24.51M,1.43%
2024-01-30,408.59,412.26,413.05,406.45,33.48M,-0.28%
2024-01-31,397.58,406.96,415.32,397.21,47.87M,-2.69%
2024-02-01,403.78,401.83,408.0,401.8,30.66M,1.56%
2024-02-02,411.22,403.81,412.65,403.56,28.26M,1.84%
2024-02-05,405.65,409.9,411.16,403.99,25.35M,-1.35%
