Date,Price,Open,High,Low,Vol.,Change %
,374.23,369.2,374.46,368.23,20.15,0.88
,371.3,368.48,371.6,366.1,27.71,-0.78
,374.38,370.85,374.42,370.46,24.84,0.83
,374.37,376.02,377.64,370.77,30.96,0.0
,365.93,373.31,373.76,364.13,43.28,-2.25
,370.73,366.85,372.4,366.28,78.5,1.31
,372.65,369.45,373.0,368.68,21.8,0.52
,373.26,371.49,373.26,369.84,20.6,0.16
,370.62,375.0,376.03,370.53,26.32,-0.71
,373.54,372.56,374.41,370.04,17.71,0.79
,374.58,373.68,375.18,372.71,17.11,0.28
,374.66,375.0,376.94,373.5,12.67,0.02
,374.07,373.69,375.06,372.81,14.91,-0.16
,375.28,375.37,376.46,374.16,14.33,0.32
,376.04,376.0,377.16,373.48,18.73,0.2
,370.87,373.86,375.9,366.77,25.26,-1.37
,370.6,369.01,373.26,368.51,23.08,-0.07
,367.94,370.67,373.1,367.17,20.9,-0.72
,367.75,368.97,372.06,366.5,21.0,-0.05
,374.69,369.3,375.2,369.01,23.13,1.89
,375.79,372.01,375.99,371.19,20.83,0.29
,382.77,376.37,384.17,376.32,25.51,1.86
,384.63,386.0,390.68,380.38,27.85,0.49
,388.47,385.49,388.68,384.65,21.66,1.0
,390.27,393.66,394.03,387.62,27.2,0.46
,389.47,387.98,390.11,384.81,22.23,-0.2
,393.87,391.72,393.99,390.12,23.39,1.13
,398.67,395.76,398.67,393.5,29.33,1.22
,396.51,400.02,400.62,393.59,27.02,-0.54
,398.9,395.75,399.38,393.93,20.53,0.6
,402.56,401.54,405.63,400.45,24.87,0.92
,404.87,404.32,407.01,402.53,21.02,0.57
,403.93,404.37,406.17,402.43,17.8,-0.23
,409.72,406.06,409.98,404.33,24.51,1.43
,408.59,412.26,413.05,406.45,33.48,-0.28
,397.58,406.96,415.32,397.21,47.87,-2.69
,403.78,401.83,408.0,401.8,30.66,1.56
,411.22,403.81,412.65,403.56,28.26,1.84
,405.65,409.9,411.16,403.99,25.35,-1.35
,405.49,405.88,407.97,402.91,18.38,-0.04
,414.05,407.44,414.3,407.4,22.34,2.11
,414.11,414.05,415.56,412.53,21.23,0.01
,420.55,415.25,420.82,415.09,22.03,1.56
,415.26,420.56,420.74,414.75,21.2,-1.26
,406.32,404.94,410.07,403.39,27.82,-2.15
,409.49,408.07,409.84,404.57,20.4,0.78
,406.56,408.14,409.13,404.29,21.83,-0.72
,404.06,407.96,408.29,403.44,22.3,-0.61
,402.79,403.24,404.49,398.01,24.31,-0.31
,402.18,400.17,402.29,397.22,18.63,-0.15
,411.65,410.19,412.83,408.57,27.01,2.35
,410.34,415.67,415.86,408.97,16.3,-0.32
,407.54,411.45,412.16,407.36,16.19,-0.68
,407.48,407.99,408.32,403.85,14.84,-0.01
,407.72,408.18,409.3,405.32,13.18,0.06
,413.64,408.64,414.2,405.92,31.95,1.45
,415.5,411.27,415.87,410.88,17.82,0.45
,414.92,413.44,417.35,412.32,17.6,-0.14
,402.65,413.96,414.25,400.64,26.92,-2.96
,402.09,402.97,405.16,398.39,22.34,-0.14
,409.14,406.12,409.78,402.24,18.72,1.75
,406.22,407.96,410.42,404.33,18.0,-0.71
,404.52,403.76,405.68,401.26,16.12,-0.42
,415.28,407.62,415.57,406.79,22.46,2.66
,415.1,418.1,418.18,411.45,17.12,-0.04
,425.22,420.24,427.82,417.99,34.16,2.44
,416.42,419.29,422.6,412.79,45.08,-2.07
,417.32,414.25,420.73,413.78,20.11,0.22
,421.41,417.83,421.67,415.55,19.84,0.98
,425.23,422.0,425.96,420.66,17.86,0.91
,429.37,429.83,430.82,427.16,21.3,0.97
,428.74,429.7,429.86,426.07,17.65,-0.15
,422.86,425.24,427.41,421.61,18.06,-1.37
,421.65,425.61,425.99,421.35,16.73,-0.29
,421.43,424.44,424.45,419.01,16.7,-0.05
,420.72,420.96,421.87,419.12,21.87,-0.17
,424.57,423.95,427.89,422.22,16.32,0.92
,421.44,420.11,422.38,417.84,17.91,-0.74
,420.45,419.73,423.26,419.08,16.5,-0.23
,417.88,424.99,428.67,417.57,19.37,-0.61
,425.52,420.01,426.51,418.32,16.55,1.83
,424.59,425.17,427.28,423.3,14.27,-0.22
,426.28,426.44,427.74,421.62,12.51,0.4
,423.26,422.19,424.03,419.7,16.22,-0.71
,427.93,425.82,429.37,422.36,17.97,1.1
,421.9,424.05,425.18,419.77,19.25,-1.41
,413.64,426.6,426.82,413.43,20.27,-1.96
,414.58,414.57,418.4,413.73,16.77,0.23
